,Year,Continent,Disaster Type,counts
826,1968,Europe,Landslide,1
827,1968,Europe,Miscellaneous accident,1
828,1968,Europe,Storm,2
829,1968,Europe,Transport accident,2
830,1968,Oceania,Earthquake,2
831,1968,Oceania,Storm,5
832,1968,Oceania,Wildfire,1
833,1969,Africa,Drought,10
834,1969,Africa,Earthquake,4
835,1969,Africa,Epidemic,6
836,1969,Africa,Flood,3
837,1969,Africa,Miscellaneous accident,1
838,1969,Africa,Storm,1
839,1969,Africa,Transport accident,1
840,1969,Americas,Drought,1
841,1969,Americas,Earthquake,1
842,1969,Americas,Epidemic,7
843,1969,Americas,Flood,5
844,1969,Americas,Landslide,1
845,1969,Americas,Miscellaneous accident,1
846,1969,Americas,Storm,10
847,1969,Americas,Transport accident,1
848,1969,Asia,Drought,3
849,1969,Asia,Earthquake,4
850,1969,Asia,Epidemic,1
851,1969,Asia,Flood,6
852,1969,Asia,Miscellaneous accident,7
853,1969,Asia,Storm,12
854,1969,Asia,Volcanic activity,2
855,1969,Asia,Wildfire,2
856,1969,Europe,Earthquake,2
857,1969,Europe,Miscellaneous accident,1
858,1969,Europe,Storm,1
859,1969,Europe,Transport accident,2
860,1969,Oceania,Storm,1
861,1970,Africa,Drought,1
862,1970,Africa,Epidemic,3
863,1970,Africa,Flood,2
864,1970,Africa,Industrial accident,1
865,1970,Africa,Storm,1
866,1970,Americas,Drought,1
867,1970,Americas,Earthquake,5
868,1970,Americas,Flood,15
869,1970,Americas,Industrial accident,1
870,1970,Americas,Miscellaneous accident,3
871,1970,Americas,Storm,7
872,1970,Americas,Transport accident,2
873,1970,Americas,Wildfire,1
874,1970,Asia,Earthquake,6
875,1970,Asia,Epidemic,1
876,1970,Asia,Flood,11
877,1970,Asia,Industrial accident,1
878,1970,Asia,Landslide,3
879,1970,Asia,Miscellaneous accident,4
880,1970,Asia,Storm,14
881,1970,Asia,Transport accident,1
882,1970,Asia,Wildfire,2
883,1970,Europe,Flood,3
884,1970,Europe,Landslide,3
885,1970,Europe,Miscellaneous accident,2
886,1970,Europe,Storm,1
887,1970,Europe,Transport accident,1
888,1970,Oceania,Earthquake,1
889,1970,Oceania,Storm,1
890,1971,Africa,Drought,5
891,1971,Africa,Epidemic,1
892,1971,Africa,Flood,1
893,1971,Americas,Earthquake,2
894,1971,Americas,Epidemic,1
895,1971,Americas,Flood,8
896,1971,Americas,Industrial accident,1
897,1971,Americas,Landslide,3
898,1971,Americas,Mass movement (dry),1
899,1971,Americas,Miscellaneous accident,1
900,1971,Americas,Storm,7
901,1971,Americas,Transport accident,1
902,1971,Americas,Volcanic activity,2
903,1971,Asia,Drought,1
904,1971,Asia,Earthquake,3
905,1971,Asia,Flood,4
906,1971,Asia,Landslide,1
907,1971,Asia,Miscellaneous accident,1
908,1971,Asia,Storm,13
909,1971,Asia,Transport accident,1
910,1971,Asia,Wildfire,2
911,1971,Europe,Earthquake,1
912,1971,Europe,Extreme temperature,1
913,1971,Europe,Flood,1
914,1971,Europe,Industrial accident,1
915,1971,Europe,Miscellaneous accident,2
916,1971,Europe,Storm,1
917,1971,Europe,Transport accident,6
918,1971,Oceania,Flood,1
919,1971,Oceania,Landslide,1
920,1971,Oceania,Storm,1
921,1971,Oceania,Volcanic activity,1
922,1972,Africa,Flood,1
923,1972,Africa,Industrial accident,1
924,1972,Africa,Storm,2
925,1972,Americas,Drought,1
926,1972,Americas,Earthquake,2
927,1972,Americas,Extreme temperature,2
928,1972,Americas,Flood,4
929,1972,Americas,Industrial accident,3
930,1972,Americas,Landslide,2
931,1972,Americas,Miscellaneous accident,5
932,1972,Americas,Storm,2
933,1972,Americas,Transport accident,4
934,1972,Asia,Drought,3
935,1972,Asia,Earthquake,3
936,1972,Asia,Flood,9
937,1972,Asia,Industrial accident,1
938,1972,Asia,Landslide,3
939,1972,Asia,Miscellaneous accident,4
940,1972,Asia,Storm,10
941,1972,Asia,Wildfire,3
942,1972,Europe,Earthquake,2
943,1972,Europe,Epidemic,1
944,1972,Europe,Flood,1
945,1972,Europe,Miscellaneous accident,3
946,1972,Europe,Storm,4
947,1972,Europe,Transport accident,7
948,1972,Oceania,Storm,8
949,1973,Africa,Drought,2
950,1973,Africa,Flood,4
951,1973,Africa,Transport accident,2
952,1973,Africa,Wildfire,1
953,1973,Americas,Drought,1
954,1973,Americas,Earthquake,5
955,1973,Americas,Extreme temperature,1
956,1973,Americas,Flood,9
957,1973,Americas,Industrial accident,1
958,1973,Americas,Landslide,5
959,1973,Americas,Miscellaneous accident,2
960,1973,Americas,Storm,4
961,1973,Americas,Transport accident,1
962,1973,Asia,Earthquake,3
963,1973,Asia,Extreme temperature,2
964,1973,Asia,Flood,5
965,1973,Asia,Industrial accident,2
966,1973,Asia,Storm,10
967,1973,Asia,Transport accident,1
968,1973,Asia,Wildfire,2
969,1973,Europe,Flood,1
970,1973,Europe,Industrial accident,1
971,1973,Europe,Miscellaneous accident,4
972,1973,Europe,Storm,5
973,1973,Europe,Transport accident,4
974,1973,Europe,Volcanic activity,1
975,1973,Oceania,Flood,1
976,1973,Oceania,Industrial accident,1
977,1973,Oceania,Storm,3
978,1974,Africa,Epidemic,1
979,1974,Africa,Flood,5
980,1974,Africa,Miscellaneous accident,1
981,1974,Africa,Transport accident,1
982,1974,Americas,Drought,1
983,1974,Americas,Earthquake,3
984,1974,Americas,Epidemic,1
985,1974,Americas,Flood,5
986,1974,Americas,Industrial accident,3
987,1974,Americas,Landslide,5
988,1974,Americas,Miscellaneous accident,2
989,1974,Americas,Storm,7
990,1974,Americas,Transport accident,1
991,1974,Asia,Drought,1
992,1974,Asia,Earthquake,3
993,1974,Asia,Flood,8
994,1974,Asia,Industrial accident,1
995,1974,Asia,Insect infestation,1
996,1974,Asia,Landslide,2
997,1974,Asia,Miscellaneous accident,5
998,1974,Asia,Storm,18
999,1974,Asia,Transport accident,2
1000,1974,Asia,Wildfire,3
1001,1974,Europe,Industrial accident,2
1002,1974,Europe,Landslide,3
1003,1974,Europe,Miscellaneous accident,1
1004,1974,Europe,Storm,1
1005,1974,Europe,Transport accident,3
1006,1974,Oceania,Drought,1
1007,1974,Oceania,Flood,1
1008,1974,Oceania,Storm,2
1009,1975,Africa,Complex Disasters,1
1010,1975,Africa,Flood,6
1011,1975,Africa,Storm,4
1012,1975,Africa,Transport accident,1
1013,1975,Americas,Earthquake,1
1014,1975,Americas,Epidemic,1
1015,1975,Americas,Extreme temperature,2
1016,1975,Americas,Flood,2
1017,1975,Americas,Industrial accident,6
1018,1975,Americas,Storm,9
1019,1975,Americas,Transport accident,4
1020,1975,Americas,Volcanic activity,3
1021,1975,Asia,Drought,1
1022,1975,Asia,Earthquake,3
1023,1975,Asia,Extreme temperature,1
1024,1975,Asia,Flood,8
1025,1975,Asia,Industrial accident,3
1026,1975,Asia,Insect infestation,1
1027,1975,Asia,Landslide,2
1028,1975,Asia,Miscellaneous accident,4
1029,1975,Asia,Storm,11
1030,1975,Asia,Transport accident,2
1031,1975,Europe,Flood,1
1032,1975,Europe,Industrial accident,2
1033,1975,Europe,Landslide,3
1034,1975,Europe,Miscellaneous accident,3
1035,1975,Europe,Transport accident,5
1036,1975,Oceania,Earthquake,1
1037,1975,Oceania,Flood,1
1038,1975,Oceania,Miscellaneous accident,2
1039,1975,Oceania,Storm,4
1040,1975,Oceania,Wildfire,2
1041,1976,Africa,Drought,6
1042,1976,Africa,Epidemic,3
1043,1976,Africa,Flood,1
1044,1976,Africa,Storm,1
1045,1976,Americas,Earthquake,4
1046,1976,Americas,Flood,5
1047,1976,Americas,Industrial accident,3
1048,1976,Americas,Landslide,2
1049,1976,Americas,Miscellaneous accident,6
1050,1976,Americas,Storm,2
1051,1976,Americas,Transport accident,1
1052,1976,Americas,Volcanic activity,3
1053,1976,Americas,Wildfire,1
1054,1976,Asia,Drought,1
1055,1976,Asia,Earthquake,11
1056,1976,Asia,Flood,9
1057,1976,Asia,Industrial accident,2
1058,1976,Asia,Landslide,4
1059,1976,Asia,Miscellaneous accident,5
1060,1976,Asia,Storm,16
1061,1976,Asia,Transport accident,1
1062,1976,Asia,Volcanic activity,2
1063,1976,Europe,Drought,1
1064,1976,Europe,Earthquake,5
1065,1976,Europe,Industrial accident,4
1066,1976,Europe,Miscellaneous accident,3
1067,1976,Europe,Storm,9
1068,1976,Europe,Transport accident,3
1069,1976,Oceania,Drought,2
1070,1976,Oceania,Earthquake,1
1071,1976,Oceania,Flood,2
1072,1976,Oceania,Storm,8
1073,1977,Africa,Drought,3
1074,1977,Africa,Epidemic,4
1075,1977,Africa,Flood,8
1076,1977,Africa,Industrial accident,1
1077,1977,Africa,Miscellaneous accident,3
1078,1977,Africa,Storm,3
1079,1977,Africa,Transport accident,1
1080,1977,Africa,Volcanic activity,4
1081,1977,Americas,Drought,4
1082,1977,Americas,Earthquake,1
1083,1977,Americas,Epidemic,3
1084,1977,Americas,Extreme temperature,1
1085,1977,Americas,Flood,12
1086,1977,Americas,Industrial accident,2
1087,1977,Americas,Landslide,1
1088,1977,Americas,Miscellaneous accident,6
1089,1977,Americas,Storm,6
1090,1977,Americas,Transport accident,1
1091,1977,Asia,Drought,6
1092,1977,Asia,Earthquake,9
1093,1977,Asia,Epidemic,14
1094,1977,Asia,Flood,18
1095,1977,Asia,Industrial accident,2
1096,1977,Asia,Landslide,1
1097,1977,Asia,Miscellaneous accident,2
1098,1977,Asia,Storm,19
1099,1977,Asia,Transport accident,3
1100,1977,Asia,Volcanic activity,1
1101,1977,Europe,Earthquake,2
1102,1977,Europe,Flood,8
1103,1977,Europe,Landslide,1
1104,1977,Europe,Miscellaneous accident,2
1105,1977,Europe,Transport accident,2
1106,1977,Oceania,Earthquake,3
1107,1977,Oceania,Epidemic,1
1108,1977,Oceania,Flood,2
1109,1977,Oceania,Storm,4
1110,1977,Oceania,Transport accident,1
1111,1977,Oceania,Wildfire,2
1112,1978,Africa,Drought,2
1113,1978,Africa,Epidemic,6
1114,1978,Africa,Flood,8
1115,1978,Africa,Industrial accident,1
1116,1978,Africa,Insect infestation,1
1117,1978,Africa,Miscellaneous accident,1
1118,1978,Africa,Storm,3
1119,1978,Africa,Transport accident,1
1120,1978,Africa,Wildfire,1
1121,1978,Americas,Drought,2
1122,1978,Americas,Earthquake,1
1123,1978,Americas,Epidemic,1
1124,1978,Americas,Flood,9
1125,1978,Americas,Industrial accident,4
1126,1978,Americas,Miscellaneous accident,5
1127,1978,Americas,Storm,8
1128,1978,Americas,Transport accident,4
1129,1978,Asia,Drought,3
1130,1978,Asia,Earthquake,5
1131,1978,Asia,Epidemic,14
1132,1978,Asia,Extreme temperature,1
1133,1978,Asia,Flood,22
1134,1978,Asia,Industrial accident,1
1135,1978,Asia,Insect infestation,1
1136,1978,Asia,Landslide,2
1137,1978,Asia,Miscellaneous accident,12
1138,1978,Asia,Storm,24
1139,1978,Asia,Transport accident,4
1140,1978,Asia,Volcanic activity,2
1141,1978,Asia,Wildfire,2
1142,1978,Europe,Earthquake,3
1143,1978,Europe,Flood,3
1144,1978,Europe,Industrial accident,5
1145,1978,Europe,Storm,1
1146,1978,Europe,Transport accident,3
1147,1978,Oceania,Drought,1
1148,1978,Oceania,Flood,5
1149,1978,Oceania,Storm,6
1150,1979,Africa,Drought,4
1151,1979,Africa,Epidemic,2
1152,1979,Africa,Flood,6
1153,1979,Africa,Insect infestation,1
1154,1979,Africa,Miscellaneous accident,1
1155,1979,Africa,Storm,3
1156,1979,Africa,Transport accident,1
1157,1979,Americas,Drought,1
1158,1979,Americas,Earthquake,5
1159,1979,Americas,Flood,12
1160,1979,Americas,Industrial accident,8
1161,1979,Americas,Landslide,1
1162,1979,Americas,Miscellaneous accident,3
1163,1979,Americas,Storm,11
1164,1979,Americas,Transport accident,1
1165,1979,Americas,Volcanic activity,1
1166,1979,Asia,Drought,6
1167,1979,Asia,Earthquake,13
1168,1979,Asia,Epidemic,1
1169,1979,Asia,Extreme temperature,3
1170,1979,Asia,Flood,11
1171,1979,Asia,Industrial accident,8
1172,1979,Asia,Landslide,4
1173,1979,Asia,Miscellaneous accident,11
1174,1979,Asia,Storm,12
1175,1979,Asia,Transport accident,7
1176,1979,Asia,Volcanic activity,2
1177,1979,Asia,Wildfire,3
1178,1979,Europe,Earthquake,5
1179,1979,Europe,Extreme temperature,1
1180,1979,Europe,Flood,5
1181,1979,Europe,Industrial accident,4
1182,1979,Europe,Miscellaneous accident,1
1183,1979,Europe,Transport accident,2
1184,1979,Europe,Volcanic activity,1
1185,1979,Oceania,Landslide,2
1186,1979,Oceania,Storm,5
1187,1979,Oceania,Transport accident,1
1188,1979,Oceania,Wildfire,1
1189,1980,Africa,Drought,19
1190,1980,Africa,Earthquake,1
1191,1980,Africa,Epidemic,5
1192,1980,Africa,Landslide,1
1193,1980,Africa,Storm,1
1194,1980,Americas,Drought,1
1195,1980,Americas,Earthquake,5
1196,1980,Americas,Extreme temperature,1
1197,1980,Americas,Flood,14
1198,1980,Americas,Industrial accident,4
1199,1980,Americas,Miscellaneous accident,5
1200,1980,Americas,Storm,14
1201,1980,Americas,Transport accident,1
1202,1980,Americas,Volcanic activity,1
1203,1980,Americas,Wildfire,1
1204,1980,Asia,Drought,2
1205,1980,Asia,Earthquake,7
1206,1980,Asia,Epidemic,3
1207,1980,Asia,Extreme temperature,2
1208,1980,Asia,Flood,20
1209,1980,Asia,Industrial accident,5
1210,1980,Asia,Landslide,3
1211,1980,Asia,Mass movement (dry),1
1212,1980,Asia,Miscellaneous accident,9
1213,1980,Asia,Storm,20
1214,1980,Asia,Transport accident,7
1215,1980,Asia,Volcanic activity,1
1216,1980,Asia,Wildfire,2
1217,1980,Europe,Drought,1
1218,1980,Europe,Earthquake,4
1219,1980,Europe,Flood,3
1220,1980,Europe,Industrial accident,4
1221,1980,Europe,Miscellaneous accident,2
1222,1980,Europe,Storm,1
1223,1980,Europe,Transport accident,6
1224,1980,Oceania,Drought,1
1225,1980,Oceania,Flood,2
1226,1980,Oceania,Industrial accident,1
1227,1980,Oceania,Storm,6
1228,1980,Oceania,Wildfire,1
1229,1981,Africa,Drought,12
1230,1981,Africa,Epidemic,4
1231,1981,Africa,Flood,7
1232,1981,Africa,Storm,2
1233,1981,Americas,Drought,2
1234,1981,Americas,Earthquake,4
1235,1981,Americas,Flood,7
1236,1981,Americas,Industrial accident,6
1237,1981,Americas,Landslide,4
1238,1981,Americas,Miscellaneous accident,3
1239,1981,Americas,Storm,5
1240,1981,Americas,Transport accident,4
1241,1981,Asia,Drought,2
1242,1981,Asia,Earthquake,6
1243,1981,Asia,Epidemic,1
1244,1981,Asia,Extreme temperature,1
1245,1981,Asia,Flood,21
1246,1981,Asia,Industrial accident,3
1247,1981,Asia,Landslide,4
1248,1981,Asia,Miscellaneous accident,8
1249,1981,Asia,Storm,29
1250,1981,Asia,Transport accident,9
1251,1981,Asia,Volcanic activity,1
1252,1981,Asia,Wildfire,4
1253,1981,Europe,Drought,1
1254,1981,Europe,Earthquake,5
1255,1981,Europe,Extreme temperature,1
1256,1981,Europe,Flood,4
1257,1981,Europe,Industrial accident,1
1258,1981,Europe,Miscellaneous accident,3
1259,1981,Europe,Storm,6
1260,1981,Europe,Transport accident,2
1261,1981,Oceania,Drought,1
1262,1981,Oceania,Flood,4
1263,1981,Oceania,Miscellaneous accident,1
1264,1981,Oceania,Storm,8
1265,1982,Africa,Epidemic,3
1266,1982,Africa,Flood,6
1267,1982,Africa,Landslide,1
1268,1982,Africa,Mass movement (dry),1
1269,1982,Africa,Miscellaneous accident,4
1270,1982,Africa,Storm,4
1271,1982,Africa,Transport accident,3
1272,1982,Americas,Drought,1
1273,1982,Americas,Earthquake,5
1274,1982,Americas,Extreme temperature,1
1275,1982,Americas,Flood,14
1276,1982,Americas,Industrial accident,7
1277,1982,Americas,Landslide,2
1278,1982,Americas,Miscellaneous accident,3
1279,1982,Americas,Storm,16
1280,1982,Americas,Transport accident,3
1281,1982,Americas,Volcanic activity,1
1282,1982,Asia,Drought,4
1283,1982,Asia,Earthquake,6
1284,1982,Asia,Epidemic,4
1285,1982,Asia,Extreme temperature,1
1286,1982,Asia,Flood,22
1287,1982,Asia,Industrial accident,4
1288,1982,Asia,Landslide,5
1289,1982,Asia,Miscellaneous accident,5
1290,1982,Asia,Storm,22
1291,1982,Asia,Transport accident,7
1292,1982,Asia,Volcanic activity,2
1293,1982,Asia,Wildfire,2
1294,1982,Europe,Drought,1
1295,1982,Europe,Earthquake,4
1296,1982,Europe,Extreme temperature,1
1297,1982,Europe,Flood,6
1298,1982,Europe,Industrial accident,1
1299,1982,Europe,Landslide,4
1300,1982,Europe,Miscellaneous accident,3
1301,1982,Europe,Storm,4
1302,1982,Europe,Transport accident,1
1303,1982,Europe,Wildfire,1
1304,1982,Oceania,Storm,6
1305,1983,Africa,Drought,12
1306,1983,Africa,Earthquake,1
1307,1983,Africa,Epidemic,3
1308,1983,Africa,Flood,3
1309,1983,Africa,Industrial accident,2
1310,1983,Africa,Miscellaneous accident,1
1311,1983,Africa,Storm,4
1312,1983,Africa,Transport accident,6
1313,1983,Americas,Drought,7
1314,1983,Americas,Earthquake,8
1315,1983,Americas,Extreme temperature,2
1316,1983,Americas,Flood,12
1317,1983,Americas,Industrial accident,4
1318,1983,Americas,Landslide,5
1319,1983,Americas,Mass movement (dry),1
1320,1983,Americas,Storm,11
1321,1983,Americas,Transport accident,4
1322,1983,Americas,Volcanic activity,1
1323,1983,Americas,Wildfire,1
1324,1983,Asia,Drought,3
1325,1983,Asia,Earthquake,10
1326,1983,Asia,Epidemic,4
1327,1983,Asia,Flood,19
1328,1983,Asia,Industrial accident,5
1329,1983,Asia,Landslide,7
1330,1983,Asia,Mass movement (dry),2
1331,1983,Asia,Miscellaneous accident,8
1332,1983,Asia,Storm,27
1333,1983,Asia,Transport accident,10
1334,1983,Asia,Volcanic activity,4
1335,1983,Asia,Wildfire,2
1336,1983,Europe,Drought,3
1337,1983,Europe,Earthquake,5
1338,1983,Europe,Flood,12
1339,1983,Europe,Industrial accident,1
1340,1983,Europe,Landslide,4
1341,1983,Europe,Miscellaneous accident,3
1342,1983,Europe,Storm,9
1343,1983,Europe,Transport accident,4
1344,1983,Europe,Volcanic activity,1
1345,1983,Europe,Wildfire,7
1346,1983,Oceania,Drought,1
1347,1983,Oceania,Earthquake,1
1348,1983,Oceania,Flood,3
1349,1983,Oceania,Storm,8
1350,1983,Oceania,Volcanic activity,1
1351,1983,Oceania,Wildfire,2
1352,1984,Africa,Drought,4
1353,1984,Africa,Epidemic,5
1354,1984,Africa,Flood,3
1355,1984,Africa,Miscellaneous accident,2
1356,1984,Africa,Storm,9
1357,1984,Africa,Transport accident,5
1358,1984,Africa,Volcanic activity,1
1359,1984,Africa,Wildfire,1
1360,1984,Americas,Drought,1
1361,1984,Americas,Epidemic,1
1362,1984,Americas,Flood,14
1363,1984,Americas,Industrial accident,9
1364,1984,Americas,Landslide,2
1365,1984,Americas,Miscellaneous accident,1
1366,1984,Americas,Storm,18
1367,1984,Americas,Transport accident,2
1368,1984,Americas,Volcanic activity,1
1369,1984,Asia,Drought,1
1370,1984,Asia,Earthquake,9
1371,1984,Asia,Epidemic,5
1372,1984,Asia,Extreme temperature,1
1373,1984,Asia,Flood,24
1374,1984,Asia,Industrial accident,6
1375,1984,Asia,Landslide,3
1376,1984,Asia,Miscellaneous accident,8
1377,1984,Asia,Storm,12
1378,1984,Asia,Transport accident,12
1379,1984,Asia,Volcanic activity,4
1380,1984,Asia,Wildfire,1
1381,1984,Europe,Earthquake,4
1382,1984,Europe,Epidemic,1
1383,1984,Europe,Flood,4
1384,1984,Europe,Industrial accident,7
1385,1984,Europe,Landslide,1
1386,1984,Europe,Miscellaneous accident,5
1387,1984,Europe,Storm,17
1388,1984,Europe,Transport accident,6
1389,1984,Europe,Volcanic activity,1
1390,1984,Europe,Wildfire,5
1391,1984,Oceania,Flood,2
1392,1984,Oceania,Storm,1
1393,1985,Africa,Drought,1
1394,1985,Africa,Earthquake,1
1395,1985,Africa,Epidemic,5
1396,1985,Africa,Flood,11
1397,1985,Africa,Industrial accident,2
1398,1985,Africa,Insect infestation,2
1399,1985,Africa,Storm,3
1400,1985,Africa,Transport accident,4
1401,1985,Africa,Wildfire,1
1402,1985,Americas,Drought,1
1403,1985,Americas,Earthquake,5
1404,1985,Americas,Flood,14
1405,1985,Americas,Industrial accident,5
1406,1985,Americas,Landslide,3
1407,1985,Americas,Mass movement (dry),1
1408,1985,Americas,Miscellaneous accident,2
1409,1985,Americas,Storm,16
1410,1985,Americas,Transport accident,7
1411,1985,Americas,Volcanic activity,1
1412,1985,Americas,Wildfire,2
1413,1985,Asia,Drought,1
1414,1985,Asia,Earthquake,7
1415,1985,Asia,Epidemic,7
1416,1985,Asia,Extreme temperature,2
1417,1985,Asia,Flood,25
1418,1985,Asia,Industrial accident,6
1419,1985,Asia,Landslide,1
1420,1985,Asia,Mass movement (dry),1
1421,1985,Asia,Miscellaneous accident,7
1422,1985,Asia,Storm,18
1423,1985,Asia,Transport accident,19
1424,1985,Asia,Volcanic activity,1
1425,1985,Asia,Wildfire,2
1426,1985,Europe,Earthquake,3
1427,1985,Europe,Epidemic,1
1428,1985,Europe,Extreme temperature,6
1429,1985,Europe,Flood,5
1430,1985,Europe,Industrial accident,4
1431,1985,Europe,Landslide,2
1432,1985,Europe,Miscellaneous accident,7
1433,1985,Europe,Storm,7
1434,1985,Europe,Transport accident,13
1435,1985,Europe,Wildfire,6
1436,1985,Oceania,Earthquake,1
1437,1985,Oceania,Flood,3
1438,1985,Oceania,Storm,7
1439,1985,Oceania,Wildfire,2
1440,1986,Africa,Drought,1
1441,1986,Africa,Epidemic,5
1442,1986,Africa,Flood,3
1443,1986,Africa,Industrial accident,1
1444,1986,Africa,Insect infestation,13
1445,1986,Africa,Miscellaneous accident,1
1446,1986,Africa,Storm,1
1447,1986,Africa,Transport accident,10
1448,1986,Africa,Volcanic activity,1
1449,1986,Americas,Drought,1
1450,1986,Americas,Earthquake,8
1451,1986,Americas,Epidemic,1
1452,1986,Americas,Extreme temperature,1
1453,1986,Americas,Flood,19
1454,1986,Americas,Industrial accident,3
1455,1986,Americas,Landslide,4
1456,1986,Americas,Miscellaneous accident,3
1457,1986,Americas,Storm,9
1458,1986,Americas,Transport accident,15
1459,1986,Americas,Wildfire,2
1460,1986,Asia,Drought,1
1461,1986,Asia,Earthquake,8
1462,1986,Asia,Epidemic,5
1463,1986,Asia,Extreme temperature,1
1464,1986,Asia,Flood,21
1465,1986,Asia,Industrial accident,1
1466,1986,Asia,Landslide,5
1467,1986,Asia,Miscellaneous accident,11
1468,1986,Asia,Storm,33
1469,1986,Asia,Transport accident,45
1470,1986,Asia,Volcanic activity,1
1471,1986,Asia,Wildfire,2
1472,1986,Europe,Drought,1
1473,1986,Europe,Earthquake,4
1474,1986,Europe,Flood,2
1475,1986,Europe,Industrial accident,5
1476,1986,Europe,Storm,5
1477,1986,Europe,Transport accident,6
1478,1986,Europe,Wildfire,2
1479,1986,Oceania,Earthquake,1
1480,1986,Oceania,Flood,5
1481,1986,Oceania,Miscellaneous accident,1
1482,1986,Oceania,Storm,8
1483,1987,Africa,Drought,6
1484,1987,Africa,Earthquake,1
1485,1987,Africa,Epidemic,17
1486,1987,Africa,Flood,3
1487,1987,Africa,Industrial accident,4
1488,1987,Africa,Insect infestation,14
1489,1987,Africa,Miscellaneous accident,1
1490,1987,Africa,Storm,4
1491,1987,Africa,Transport accident,22
1492,1987,Americas,Drought,2
1493,1987,Americas,Earthquake,6
1494,1987,Americas,Extreme temperature,1
1495,1987,Americas,Flood,23
1496,1987,Americas,Industrial accident,6
1497,1987,Americas,Landslide,7
1498,1987,Americas,Miscellaneous accident,6
1499,1987,Americas,Storm,15
1500,1987,Americas,Transport accident,30
1501,1987,Americas,Volcanic activity,1
1502,1987,Americas,Wildfire,3
1503,1987,Asia,Drought,7
1504,1987,Asia,Earthquake,6
1505,1987,Asia,Epidemic,8
1506,1987,Asia,Extreme temperature,4
1507,1987,Asia,Flood,32
1508,1987,Asia,Industrial accident,8
1509,1987,Asia,Insect infestation,1
1510,1987,Asia,Landslide,2
1511,1987,Asia,Mass movement (dry),1
1512,1987,Asia,Miscellaneous accident,13
1513,1987,Asia,Storm,23
1514,1987,Asia,Transport accident,58
1515,1987,Asia,Volcanic activity,1
1516,1987,Asia,Wildfire,2
1517,1987,Europe,Extreme temperature,1
1518,1987,Europe,Flood,9
1519,1987,Europe,Industrial accident,3
1520,1987,Europe,Landslide,3
1521,1987,Europe,Mass movement (dry),1
1522,1987,Europe,Miscellaneous accident,1
1523,1987,Europe,Storm,9
1524,1987,Europe,Transport accident,13
1525,1987,Europe,Wildfire,2
1526,1987,Oceania,Earthquake,2
1527,1987,Oceania,Flood,1
1528,1987,Oceania,Landslide,1
1529,1987,Oceania,Storm,7
1530,1987,Oceania,Wildfire,1
1531,1988,Africa,Drought,8
1532,1988,Africa,Earthquake,2
1533,1988,Africa,Epidemic,13
1534,1988,Africa,Flood,16
1535,1988,Africa,Industrial accident,1
1536,1988,Africa,Insect infestation,17
1537,1988,Africa,Landslide,1
1538,1988,Africa,Mass movement (dry),1
1539,1988,Africa,Miscellaneous accident,4
1540,1988,Africa,Storm,4
1541,1988,Africa,Transport accident,11
1542,1988,Americas,Drought,6
1543,1988,Americas,Earthquake,2
1544,1988,Americas,Epidemic,3
1545,1988,Americas,Extreme temperature,2
1546,1988,Americas,Flood,27
1547,1988,Americas,Industrial accident,5
1548,1988,Americas,Landslide,2
1549,1988,Americas,Miscellaneous accident,6
1550,1988,Americas,Storm,32
1551,1988,Americas,Transport accident,23
1552,1988,Americas,Volcanic activity,2
1553,1988,Asia,Drought,3
1554,1988,Asia,Earthquake,7
1555,1988,Asia,Epidemic,4
1556,1988,Asia,Extreme temperature,2
1557,1988,Asia,Flood,23
1558,1988,Asia,Industrial accident,11
1559,1988,Asia,Landslide,10
1560,1988,Asia,Mass movement (dry),1
1561,1988,Asia,Miscellaneous accident,14
1562,1988,Asia,Storm,20
1563,1988,Asia,Transport accident,68
1564,1988,Asia,Volcanic activity,3
1565,1988,Europe,Earthquake,3
1566,1988,Europe,Extreme temperature,2
1567,1988,Europe,Flood,4
1568,1988,Europe,Industrial accident,3
1569,1988,Europe,Landslide,1
1570,1988,Europe,Miscellaneous accident,1
1571,1988,Europe,Transport accident,18
1572,1988,Oceania,Earthquake,1
1573,1988,Oceania,Flood,6
1574,1988,Oceania,Landslide,1
1575,1988,Oceania,Mass movement (dry),1
1576,1988,Oceania,Storm,4
1577,1989,Africa,Drought,4
1578,1989,Africa,Earthquake,2
1579,1989,Africa,Epidemic,11
1580,1989,Africa,Flood,12
1581,1989,Africa,Industrial accident,5
1582,1989,Africa,Landslide,1
1583,1989,Africa,Miscellaneous accident,4
1584,1989,Africa,Storm,5
1585,1989,Africa,Transport accident,28
1586,1989,Americas,Earthquake,4
1587,1989,Americas,Epidemic,2
1588,1989,Americas,Extreme temperature,1
1589,1989,Americas,Flood,14
1590,1989,Americas,Industrial accident,4
1591,1989,Americas,Landslide,4
1592,1989,Americas,Mass movement (dry),1
1593,1989,Americas,Miscellaneous accident,7
1594,1989,Americas,Storm,30
1595,1989,Americas,Transport accident,40
1596,1989,Americas,Wildfire,2
1597,1989,Asia,Drought,1
1598,1989,Asia,Earthquake,11
1599,1989,Asia,Epidemic,2
1600,1989,Asia,Extreme temperature,4
1601,1989,Asia,Flood,15
1602,1989,Asia,Industrial accident,13
1603,1989,Asia,Insect infestation,1
1604,1989,Asia,Landslide,8
1605,1989,Asia,Mass movement (dry),1
1606,1989,Asia,Miscellaneous accident,11
1607,1989,Asia,Storm,28
1608,1989,Asia,Transport accident,76
