,Year,Continent,Disaster Type,counts
163,1922,Europe,Industrial accident,1
164,1922,Europe,Landslide,1
165,1923,Africa,Epidemic,1
166,1923,Americas,Earthquake,1
167,1923,Americas,Epidemic,1
168,1923,Americas,Storm,1
169,1923,Asia,Earthquake,5
170,1923,Asia,Landslide,1
171,1923,Asia,Miscellaneous accident,1
172,1923,Asia,Storm,4
173,1923,Europe,Epidemic,1
174,1923,Europe,Industrial accident,1
175,1923,Europe,Miscellaneous accident,1
176,1923,Europe,Storm,1
177,1924,Americas,Earthquake,1
178,1924,Asia,Earthquake,5
179,1924,Asia,Epidemic,1
180,1924,Asia,Storm,2
181,1924,Europe,Industrial accident,1
182,1925,Americas,Earthquake,2
183,1925,Americas,Storm,1
184,1925,Americas,Transport accident,1
185,1925,Asia,Earthquake,7
186,1925,Asia,Storm,1
187,1925,Europe,Flood,1
188,1925,Oceania,Storm,1
189,1926,Africa,Earthquake,1
190,1926,Americas,Landslide,1
191,1926,Americas,Storm,4
192,1926,Asia,Epidemic,1
193,1926,Asia,Flood,1
194,1926,Asia,Storm,3
195,1926,Asia,Volcanic activity,1
196,1926,Europe,Flood,3
197,1926,Europe,Landslide,1
198,1927,Africa,Flood,1
199,1927,Americas,Flood,1
200,1927,Americas,Miscellaneous accident,1
201,1927,Americas,Storm,1
202,1927,Asia,Earthquake,4
203,1927,Asia,Storm,3
204,1927,Europe,Industrial accident,1
205,1928,Americas,Earthquake,2
206,1928,Americas,Miscellaneous accident,1
207,1928,Americas,Storm,5
208,1928,Americas,Transport accident,3
209,1928,Asia,Drought,1
210,1928,Asia,Earthquake,2
211,1928,Asia,Flood,1
212,1928,Europe,Earthquake,3
213,1928,Europe,Flood,1
214,1928,Europe,Storm,2
215,1929,Americas,Storm,1
216,1929,Americas,Transport accident,1
217,1929,Americas,Wildfire,1
218,1929,Asia,Earthquake,1
219,1929,Europe,Industrial accident,2
220,1929,Europe,Storm,1
221,1929,Europe,Transport accident,2
222,1929,Oceania,Earthquake,1
223,1930,Africa,Insect infestation,1
224,1930,Americas,Earthquake,1
225,1930,Americas,Miscellaneous accident,1
226,1930,Americas,Storm,2
