,Unnamed: 0,Unnamed: 0.1,Disaster Type,Country,ISO,counts,latitude,Longitude
753,665,665,Flood,Saint Lucia,LCA,2,13.8833,-61.1333
754,833,833,Landslide,Saint Lucia,LCA,1,13.8833,-61.1333
755,1028,1028,Storm,Saint Lucia,LCA,14,13.8833,-61.1333
756,126,126,Drought,Saint Vincent and the Grenadines,VCT,1,13.25,-61.2
757,400,400,Epidemic,Saint Vincent and the Grenadines,VCT,1,13.25,-61.2
758,666,666,Flood,Saint Vincent and the Grenadines,VCT,7,13.25,-61.2
759,1030,1030,Storm,Saint Vincent and the Grenadines,VCT,10,13.25,-61.2
760,1104,1104,Volcanic activity,Saint Vincent and the Grenadines,VCT,3,13.25,-61.2
761,127,127,Drought,Samoa,WSM,1,-13.5833,-172.3333
762,251,251,Earthquake,Samoa,WSM,1,-13.5833,-172.3333
763,401,401,Epidemic,Samoa,WSM,1,-13.5833,-172.3333
764,667,667,Flood,Samoa,WSM,1,-13.5833,-172.3333
765,1031,1031,Storm,Samoa,WSM,11,-13.5833,-172.3333
766,1175,1175,Wildfire,Samoa,WSM,1,-13.5833,-172.3333
769,129,129,Drought,Senegal,SEN,10,14,-14
770,404,404,Epidemic,Senegal,SEN,12,14,-14
771,669,669,Flood,Senegal,SEN,23,14,-14
772,751,751,Insect infestation,Senegal,SEN,5,14,-14
773,1033,1033,Storm,Senegal,SEN,3,14,-14
774,130,130,Drought,Solomon Islands,SLB,3,-8,159
775,256,256,Earthquake,Solomon Islands,SLB,9,-8,159
776,409,409,Epidemic,Solomon Islands,SLB,2,-8,159
777,676,676,Flood,Solomon Islands,SLB,5,-8,159
778,1040,1040,Storm,Solomon Islands,SLB,19,-8,159
779,1105,1105,Volcanic activity,Solomon Islands,SLB,1,-8,159
869,148,148,Drought,Tuvalu,TUV,1,-8,178
870,1062,1062,Storm,Tuvalu,TUV,7,-8,178
786,132,132,Drought,South Africa,ZAF,11,-29,24
787,258,258,Earthquake,South Africa,ZAF,5,-29,24
788,411,411,Epidemic,South Africa,ZAF,7,-29,24
789,511,511,Extreme temperature,South Africa,ZAF,3,-29,24
790,678,678,Flood,South Africa,ZAF,41,-29,24
791,835,835,Landslide,South Africa,ZAF,1,-29,24
792,1042,1042,Storm,South Africa,ZAF,31,-29,24
793,1179,1179,Wildfire,South Africa,ZAF,10,-29,24
812,138,138,Drought,Swaziland,SWZ,7,-26.5,31.5
813,417,417,Epidemic,Swaziland,SWZ,3,-26.5,31.5
814,685,685,Flood,Swaziland,SWZ,3,-26.5,31.5
815,1047,1047,Storm,Swaziland,SWZ,3,-26.5,31.5
816,1184,1184,Wildfire,Swaziland,SWZ,1,-26.5,31.5
848,143,143,Drought,Timor-Leste,TLS,2,-8.55,125.5167
849,267,267,Earthquake,Timor-Leste,TLS,1,-8.55,125.5167
850,425,425,Epidemic,Timor-Leste,TLS,2,-8.55,125.5167
851,693,693,Flood,Timor-Leste,TLS,6,-8.55,125.5167
852,1055,1055,Storm,Timor-Leste,TLS,1,-8.55,125.5167
864,147,147,Drought,Tunisia,TUN,2,34,9
865,270,270,Earthquake,Tunisia,TUN,1,34,9
866,696,696,Flood,Tunisia,TUN,18,34,9
867,756,756,Insect infestation,Tunisia,TUN,2,34,9
868,1189,1189,Wildfire,Tunisia,TUN,1,34,9
878,150,150,Drought,Ukraine,UKR,1,49,32
879,430,430,Epidemic,Ukraine,UKR,3,49,32
880,520,520,Extreme temperature,Ukraine,UKR,8,49,32
881,700,700,Flood,Ukraine,UKR,16,49,32
882,1064,1064,Storm,Ukraine,UKR,8,49,32
883,1191,1191,Wildfire,Ukraine,UKR,2,49,32
884,151,151,Drought,United States of America (the),USA,17,38,-97
885,275,275,Earthquake,United States of America (the),USA,45,38,-97
886,432,432,Epidemic,United States of America (the),USA,5,38,-97
887,522,522,Extreme temperature,United States of America (the),USA,36,38,-97
888,703,703,Flood,United States of America (the),USA,191,38,-97
889,850,850,Landslide,United States of America (the),USA,6,38,-97
890,1066,1066,Storm,United States of America (the),USA,670,38,-97
891,1109,1109,Volcanic activity,United States of America (the),USA,2,38,-97
892,1192,1192,Wildfire,United States of America (the),USA,87,38,-97
893,152,152,Drought,Uruguay,URY,2,-33,-56
894,523,523,Extreme temperature,Uruguay,URY,4,-33,-56
895,704,704,Flood,Uruguay,URY,21,-33,-56
896,1067,1067,Storm,Uruguay,URY,7,-33,-56
916,159,159,Drought,Zambia,ZMB,5,-15,30
917,439,439,Epidemic,Zambia,ZMB,19,-15,30
918,713,713,Flood,Zambia,ZMB,22,-15,30
919,760,760,Insect infestation,Zambia,ZMB,2,-15,30
920,856,856,Landslide,Zambia,ZMB,1,-15,30
1121,581,581,Flood,French Polynesia,PYF,1,-15,-140
1122,793,793,Landslide,French Polynesia,PYF,3,-15,-140
1123,939,939,Storm,French Polynesia,PYF,4,-15,-140
925,164,164,Earthquake,American Samoa,ASM,1,-14.3333,-170
926,528,528,Flood,American Samoa,ASM,1,-14.3333,-170
927,886,886,Storm,American Samoa,ASM,4,-14.3333,-170
928,168,168,Earthquake,Austria,AUT,1,47.3333,13.3333
929,447,447,Extreme temperature,Austria,AUT,6,47.3333,13.3333
930,534,534,Flood,Austria,AUT,17,47.3333,13.3333
931,768,768,Landslide,Austria,AUT,8,47.3333,13.3333
932,892,892,Storm,Austria,AUT,20,47.3333,13.3333
933,174,174,Earthquake,Bhutan,BTN,2,27.5,90.5
934,295,295,Epidemic,Bhutan,BTN,2,27.5,90.5
935,543,543,Flood,Bhutan,BTN,3,27.5,90.5
936,902,902,Storm,Bhutan,BTN,2,27.5,90.5
937,1118,1118,Wildfire,Bhutan,BTN,1,27.5,90.5
938,189,189,Earthquake,Dominica,DMA,1,15.4167,-61.3333
939,930,930,Storm,Dominica,DMA,14,15.4167,-61.3333
940,192,192,Earthquake,Egypt,EGY,6,27,30
941,322,322,Epidemic,Egypt,EGY,3,27,30
942,465,465,Extreme temperature,Egypt,EGY,4,27,30
943,573,573,Flood,Egypt,EGY,13,27,30
944,861,861,Mass movement (dry),Egypt,EGY,2,27,30
945,932,932,Storm,Egypt,EGY,8,27,30
946,198,198,Earthquake,Germany,DEU,2,51,9
947,330,330,Epidemic,Germany,DEU,2,51,9
948,469,469,Extreme temperature,Germany,DEU,13,51,9
949,585,585,Flood,Germany,DEU,17,51,9
950,794,794,Landslide,Germany,DEU,1,51,9
951,943,943,Storm,Germany,DEU,45,51,9
952,202,202,Earthquake,Guadeloupe,GLP,1,16.25,-61.5833
953,332,332,Epidemic,Guadeloupe,GLP,1,16.25,-61.5833
954,590,590,Flood,Guadeloupe,GLP,1,16.25,-61.5833
955,949,949,Storm,Guadeloupe,GLP,13,16.25,-61.5833
956,1088,1088,Volcanic activity,Guadeloupe,GLP,1,16.25,-61.5833
959,209,209,Earthquake,Iceland,ISL,3,65,-18
960,599,599,Flood,Iceland,ISL,1,65,-18
961,800,800,Landslide,Iceland,ISL,4,65,-18
962,1090,1090,Volcanic activity,Iceland,ISL,5,65,-18
963,219,219,Earthquake,Kazakhstan,KAZ,2,48,68
964,349,349,Epidemic,Kazakhstan,KAZ,3,48,68
965,481,481,Extreme temperature,Kazakhstan,KAZ,3,48,68
966,610,610,Flood,Kazakhstan,KAZ,14,48,68
967,808,808,Landslide,Kazakhstan,KAZ,1,48,68
968,967,967,Storm,Kazakhstan,KAZ,1,48,68
969,1153,1153,Wildfire,Kazakhstan,KAZ,1,48,68
970,223,223,Earthquake,Lebanon,LBN,1,33.8333,35.8333
971,618,618,Flood,Lebanon,LBN,3,33.8333,35.8333
972,868,868,Mass movement (dry),Lebanon,LBN,1,33.8333,35.8333
973,975,975,Storm,Lebanon,LBN,7,33.8333,35.8333
974,1156,1156,Wildfire,Lebanon,LBN,2,33.8333,35.8333
1076,403,403,Epidemic,Saudi Arabia,SAU,3,25,45
1077,668,668,Flood,Saudi Arabia,SAU,24,25,45
1078,1032,1032,Storm,Saudi Arabia,SAU,2,25,45
975,224,224,Earthquake,Libya,LBY,1,25,17
976,621,621,Flood,Libya,LBY,3,25,17
977,739,739,Insect infestation,Libya,LBY,1,25,17
978,228,228,Earthquake,Maldives,MDV,1,3.25,73
979,365,365,Epidemic,Maldives,MDV,2,3.25,73
980,628,628,Flood,Maldives,MDV,3,3.25,73
981,985,985,Storm,Maldives,MDV,1,3.25,73
982,229,229,Earthquake,Martinique,MTQ,1,14.6667,-61
983,368,368,Epidemic,Martinique,MTQ,1,14.6667,-61
984,987,987,Storm,Martinique,MTQ,15,14.6667,-61
985,1094,1094,Volcanic activity,Martinique,MTQ,1,14.6667,-61
986,234,234,Earthquake,Myanmar,MMR,10,22,98
987,377,377,Epidemic,Myanmar,MMR,4,22,98
988,640,640,Flood,Myanmar,MMR,35,22,98
989,818,818,Landslide,Myanmar,MMR,10,22,98
990,872,872,Mass movement (dry),Myanmar,MMR,1,22,98
991,997,997,Storm,Myanmar,MMR,21,22,98
992,1163,1163,Wildfire,Myanmar,MMR,2,22,98
993,236,236,Earthquake,Netherlands (the),NLD,1,52.5,5.75
994,380,380,Epidemic,Netherlands (the),NLD,1,52.5,5.75
995,496,496,Extreme temperature,Netherlands (the),NLD,8,52.5,5.75
996,643,643,Flood,Netherlands (the),NLD,4,52.5,5.75
997,999,999,Storm,Netherlands (the),NLD,25,52.5,5.75
1001,254,254,Earthquake,Seychelles,SYC,1,-4.5833,55.6667
1002,406,406,Epidemic,Seychelles,SYC,2,-4.5833,55.6667
1003,672,672,Flood,Seychelles,SYC,2,-4.5833,55.6667
1004,1035,1035,Storm,Seychelles,SYC,2,-4.5833,55.6667
1009,263,263,Earthquake,Taiwan (Province of China),TWN,32,23.5,121
1010,421,421,Epidemic,Taiwan (Province of China),TWN,2,23.5,121
1011,516,516,Extreme temperature,Taiwan (Province of China),TWN,1,23.5,121
1012,689,689,Flood,Taiwan (Province of China),TWN,9,23.5,121
1013,842,842,Landslide,Taiwan (Province of China),TWN,1,23.5,121
1014,1051,1051,Storm,Taiwan (Province of China),TWN,85,23.5,121
1025,274,274,Earthquake,United Kingdom of Great Britain and Northern Ireland (the),GBR,2,54,-2
1026,431,431,Epidemic,United Kingdom of Great Britain and Northern Ireland (the),GBR,4,54,-2
1027,521,521,Extreme temperature,United Kingdom of Great Britain and Northern Ireland (the),GBR,12,54,-2
1028,702,702,Flood,United Kingdom of Great Britain and Northern Ireland (the),GBR,36,54,-2
1029,715,715,Fog,United Kingdom of Great Britain and Northern Ireland (the),GBR,1,54,-2
1030,849,849,Landslide,United Kingdom of Great Britain and Northern Ireland (the),GBR,1,54,-2
1031,1065,1065,Storm,United Kingdom of Great Britain and Northern Ireland (the),GBR,42,54,-2
1032,277,277,Earthquake,Vanuatu,VUT,8,-16,167
1033,434,434,Epidemic,Vanuatu,VUT,2,-16,167
1034,706,706,Flood,Vanuatu,VUT,2,-16,167
1035,852,852,Landslide,Vanuatu,VUT,1,-16,167
1036,1068,1068,Storm,Vanuatu,VUT,29,-16,167
1037,1110,1110,Volcanic activity,Vanuatu,VUT,7,-16,167
1038,279,279,Earthquake,Wallis and Futuna,WLF,1,-13.3,-176.2
1039,1073,1073,Storm,Wallis and Futuna,WLF,4,-13.3,-176.2
1040,290,290,Epidemic,Bahrain,BHR,1,26,50.55
1051,343,343,Epidemic,Ireland,IRL,2,53,-8
1052,604,604,Flood,Ireland,IRL,6,53,-8
1053,961,961,Storm,Ireland,IRL,16,53,-8
1041,292,292,Epidemic,Belarus,BLR,2,53,28
1042,450,450,Extreme temperature,Belarus,BLR,6,53,28
1043,539,539,Flood,Belarus,BLR,4,53,28
1044,897,897,Storm,Belarus,BLR,2,53,28
1045,314,314,Epidemic,Cook Islands (the),COK,3,-21.2333,-159.7667
1046,921,921,Storm,Cook Islands (the),COK,11,-21.2333,-159.7667
1047,324,324,Epidemic,Equatorial Guinea,GNQ,1,2,10
1054,354,354,Epidemic,Kuwait,KWT,1,29.3375,47.6581
1055,615,615,Flood,Kuwait,KWT,2,29.3375,47.6581
1056,357,357,Epidemic,Latvia,LVA,1,57,25
1057,485,485,Extreme temperature,Latvia,LVA,4,57,25
1058,974,974,Storm,Latvia,LVA,3,57,25
1059,1155,1155,Wildfire,Latvia,LVA,1,57,25
1060,360,360,Epidemic,Macao,MAC,1,22.1667,113.55
1061,980,980,Storm,Macao,MAC,6,22.1667,113.55
1062,381,381,Epidemic,New Caledonia,NCL,1,-21.5,165.5
1063,1001,1001,Storm,New Caledonia,NCL,16,-21.5,165.5
1064,386,386,Epidemic,Niue,NIU,1,-19.0333,-169.8667
1065,1006,1006,Storm,Niue,NIU,5,-19.0333,-169.8667
1066,388,388,Epidemic,Palau,PLW,1,7.5,134.5
1067,1011,1011,Storm,Palau,PLW,2,7.5,134.5
1072,398,398,Epidemic,Réunion,REU,1,-21.1,55.6
1073,832,832,Landslide,Réunion,REU,1,-21.1,55.6
1074,1024,1024,Storm,Réunion,REU,11,-21.1,55.6
1075,1103,1103,Volcanic activity,Réunion,REU,1,-21.1,55.6
1079,407,407,Epidemic,Sierra Leone,SLE,16,8.5,-11.5
1080,673,673,Flood,Sierra Leone,SLE,10,8.5,-11.5
1081,834,834,Landslide,Sierra Leone,SLE,2,8.5,-11.5
1082,1036,1036,Storm,Sierra Leone,SLE,3,8.5,-11.5
1083,1177,1177,Wildfire,Sierra Leone,SLE,1,8.5,-11.5
1084,408,408,Epidemic,Singapore,SGP,4,1.3667,103.8
1085,418,418,Epidemic,Sweden,SWE,2,62,15
1086,514,514,Extreme temperature,Sweden,SWE,1,62,15
1087,686,686,Flood,Sweden,SWE,2,62,15
1088,839,839,Landslide,Sweden,SWE,1,62,15
1089,1048,1048,Storm,Sweden,SWE,8,62,15
1090,1185,1185,Wildfire,Sweden,SWE,1,62,15
1124,648,648,Flood,Norway,NOR,3,62,10
1125,823,823,Landslide,Norway,NOR,3,62,10
1126,1008,1008,Storm,Norway,NOR,7,62,10
1097,452,452,Extreme temperature,Belize,BLZ,1,17.25,-88.75
1098,541,541,Flood,Belize,BLZ,5,17.25,-88.75
1099,899,899,Storm,Belize,BLZ,16,17.25,-88.75
1100,463,463,Extreme temperature,Czech Republic (the),CZE,6,49.75,15.5
1101,567,567,Flood,Czech Republic (the),CZE,13,49.75,15.5
1102,926,926,Storm,Czech Republic (the),CZE,8,49.75,15.5
1105,488,488,Extreme temperature,Luxembourg,LUX,1,49.75,6.1667
1106,623,623,Flood,Luxembourg,LUX,2,49.75,6.1667
1107,979,979,Storm,Luxembourg,LUX,9,49.75,6.1667
1103,467,467,Extreme temperature,Estonia,EST,3,59,26
1104,935,935,Storm,Estonia,EST,1,59,26
1111,509,509,Extreme temperature,Slovakia,SVK,5,48.6667,19.5
1112,674,674,Flood,Slovakia,SVK,13,48.6667,19.5
1113,1038,1038,Storm,Slovakia,SVK,3,48.6667,19.5
1114,1178,1178,Wildfire,Slovakia,SVK,1,48.6667,19.5
1115,536,536,Flood,Bahamas (the),BHS,2,24.25,-76
1116,894,894,Storm,Bahamas (the),BHS,26,24.25,-76
1117,578,578,Flood,Finland,FIN,1,64,26
1118,937,937,Storm,Finland,FIN,2,64,26
1127,649,649,Flood,Oman,OMN,4,21,57
1128,1009,1009,Storm,Oman,OMN,11,21,57
1129,660,660,Flood,Qatar,QAT,1,25.5,51.25
1130,664,664,Flood,Saint Kitts and Nevis,KNA,1,17.3333,-62.75
1131,1027,1027,Storm,Saint Kitts and Nevis,KNA,9,17.3333,-62.75
1134,901,901,Storm,Bermuda,BMU,6,32.3333,-64.75
1135,913,913,Storm,Cayman Islands (the),CYM,7,19.5,-80.5
1136,994,994,Storm,Montserrat,MSR,4,16.75,-62.2
1137,1096,1096,Volcanic activity,Montserrat,MSR,4,16.75,-62.2
1138,1000,1000,Storm,Netherlands Antilles,ANT,4,12.25,-68.75
1139,1007,1007,Storm,Northern Mariana Islands (the),MNP,4,15.2,145.75
1140,1099,1099,Volcanic activity,Northern Mariana Islands (the),MNP,1,15.2,145.75
1141,1026,1026,Storm,"Saint Helena, Ascension and Tristan da Cunha",SHN,1,-15.9333,-5.7
1142,1057,1057,Storm,Tokelau,TKL,6,-9,-172
1143,1061,1061,Storm,Turks and Caicos Islands (the),TCA,7,21.75,-71.5833
1144,1071,1071,Storm,Virgin Island (British),VGB,4,18.5,-64.5
1145,1072,1072,Storm,Virgin Island (U.S.),VIR,8,18.3333,-64.8333
1146,1121,1121,Wildfire,Brunei Darussalam,BRN,1,4.5,114.6667
