,Disaster Type,Country,ISO,counts
152,Drought,Uruguay,URY,2
153,Drought,Uzbekistan,UZB,1
154,Drought,Venezuela (Bolivarian Republic of),VEN,1
155,Drought,Viet Nam,VNM,7
156,Drought,Yemen Arab Rep,YMN,2
157,Drought,Yemen P Dem Rep,YMD,2
158,Drought,Yugoslavia,YUG,1
159,Drought,Zambia,ZMB,5
160,Drought,Zimbabwe,ZWE,8
161,Earthquake,Afghanistan,AFG,33
162,Earthquake,Albania,ALB,16
163,Earthquake,Algeria,DZA,21
164,Earthquake,American Samoa,ASM,1
165,Earthquake,Argentina,ARG,5
166,Earthquake,Armenia,ARM,2
167,Earthquake,Australia,AUS,3
168,Earthquake,Austria,AUT,1
169,Earthquake,Azerbaijan,AZE,6
170,Earthquake,Azores Islands,AZO,3
171,Earthquake,Bangladesh,BGD,9
172,Earthquake,Barbados,BRB,1
173,Earthquake,Belgium,BEL,2
174,Earthquake,Bhutan,BTN,2
175,Earthquake,Bolivia (Plurinational State of),BOL,2
176,Earthquake,Brazil,BRA,2
177,Earthquake,Bulgaria,BGR,6
178,Earthquake,Burundi,BDI,1
179,Earthquake,Canada,CAN,1
180,Earthquake,Chile,CHL,28
181,Earthquake,China,CHN,195
182,Earthquake,Colombia,COL,30
183,Earthquake,Comoros (the),COM,1
184,Earthquake,Congo (the Democratic Republic of the),COD,5
185,Earthquake,Costa Rica,CRI,17
186,Earthquake,Croatia,HRV,3
187,Earthquake,Cuba,CUB,2
188,Earthquake,Cyprus,CYP,2
189,Earthquake,Dominica,DMA,1
190,Earthquake,Dominican Republic (the),DOM,2
191,Earthquake,Ecuador,ECU,19
192,Earthquake,Egypt,EGY,6
