,Unnamed: 0,milking_id,milking_oid,farm_id,animal_id,lactation_id,milking_system_id,mastiman_trial_id,weather_id,parity,started_at,ended_at,previously_ended_at,mi,dim,tmy,mylf,myrf,mylr,myrr,LS,tmy_h
3363,3363,120211000000000.0,2593929,1,3595,4117,13,,,3,23/12/2021 07:23,23/12/2021 07:34,23/12/2021 00:57,6.61,14.32,3.9,1.26,0.0,1.45,1.19,Early,0.5900151285930408
3364,3364,120211000000000.0,2594005,1,3595,4117,13,,,3,23/12/2021 14:04,23/12/2021 14:10,23/12/2021 07:34,6.6,14.59,6.58,1.21,1.17,2.83,1.37,Early,0.9969696969696971
3365,3365,120211000000000.0,2594123,1,3595,4117,13,,,3,24/12/2021 00:04,24/12/2021 00:11,23/12/2021 14:10,10.01,15.01,6.82,1.57,1.61,1.84,1.8,Early,0.6813186813186813
3366,3366,120211000000000.0,2594209,1,3595,4117,13,,,3,24/12/2021 08:11,24/12/2021 08:17,24/12/2021 00:11,8.11,15.35,4.53,1.07,1.09,1.22,1.15,Early,0.558569667077682
3367,3367,120211000000000.0,2594303,1,3595,4117,13,,,3,24/12/2021 15:58,24/12/2021 16:03,24/12/2021 08:17,7.77,15.67,4.31,0.99,1.03,1.11,1.18,Early,0.5546975546975547
3368,3368,120211000000000.0,2594402,1,3595,4117,13,,,3,24/12/2021 23:46,24/12/2021 23:51,24/12/2021 16:03,7.8,15.99,4.54,1.05,1.07,1.22,1.2,Early,0.5820512820512821
3369,3369,120211000000000.0,2594479,1,3595,4117,13,,,3,25/12/2021 08:28,25/12/2021 08:34,24/12/2021 23:51,8.71,16.36,5.52,1.26,1.3,1.48,1.48,Early,0.6337543053960963
3370,3370,120211000000000.0,2594584,1,3595,4117,13,,,3,25/12/2021 17:33,25/12/2021 17:39,25/12/2021 08:34,9.09,16.74,5.81,1.31,1.36,1.6,1.54,Early,0.6391639163916392
3371,3371,120211000000000.0,2594703,1,3595,4117,13,,,3,26/12/2021 03:10,26/12/2021 03:17,25/12/2021 17:39,9.64,17.14,5.94,1.39,1.38,1.64,1.53,Early,0.6161825726141079
3372,3372,120211000000000.0,2594812,1,3595,4117,13,,,3,26/12/2021 12:34,26/12/2021 12:40,26/12/2021 03:17,9.39,17.53,6.13,1.38,1.51,1.69,1.55,Early,0.6528221512247071
3373,3373,120211000000000.0,2594910,1,3595,4117,13,,,3,26/12/2021 20:43,26/12/2021 20:50,26/12/2021 12:40,8.15,17.87,5.99,1.36,1.4,1.67,1.56,Early,0.7349693251533742
3374,3374,120211000000000.0,2594978,1,3595,4117,13,,,3,27/12/2021 02:42,27/12/2021 02:48,26/12/2021 20:50,5.97,18.12,4.47,1.03,1.04,1.19,1.21,Early,0.7487437185929648
3375,3375,120211000000000.0,2595048,1,3595,4117,13,,,3,27/12/2021 09:49,27/12/2021 09:57,27/12/2021 02:48,7.15,18.41,5.7,1.21,1.37,2.21,0.91,Early,0.7972027972027972
3376,3376,120211000000000.0,2595154,1,3595,4117,13,,,3,27/12/2021 20:06,27/12/2021 20:13,27/12/2021 09:57,10.28,18.84,8.42,1.91,1.97,2.34,2.2,Early,0.8190661478599223
3377,3377,120211000000000.0,2595249,1,3595,4117,13,,,3,28/12/2021 04:06,28/12/2021 04:12,27/12/2021 20:13,7.98,19.18,6.56,1.5,1.55,1.81,1.7,Early,0.8220551378446115
3378,3378,120211000000000.0,2595338,1,3595,4117,13,,,3,28/12/2021 13:00,28/12/2021 13:08,28/12/2021 04:12,8.93,19.55,7.37,1.63,1.72,2.03,1.99,Early,0.8253079507278835
3379,3379,120211000000000.0,2595427,1,3595,4117,13,,,3,28/12/2021 21:13,28/12/2021 21:19,28/12/2021 13:08,8.18,19.89,7.17,1.65,1.66,1.97,1.89,Early,0.8765281173594133
3380,3380,120211000000000.0,2595518,1,3595,4117,13,,,3,29/12/2021 05:44,29/12/2021 05:49,28/12/2021 21:19,8.51,20.24,7.21,1.67,1.67,2.02,1.85,Early,0.8472385428907169
3381,3381,120211000000000.0,2595609,1,3595,4117,13,,,3,29/12/2021 13:49,29/12/2021 13:56,29/12/2021 05:49,8.1,20.58,6.98,1.53,1.63,1.95,1.87,Early,0.8617283950617285
3382,3382,120211000000000.0,2595702,1,3595,4117,13,,,3,29/12/2021 21:36,29/12/2021 21:42,29/12/2021 13:56,7.77,20.9,7.07,1.59,1.67,1.96,1.85,Early,0.9099099099099099
3383,3383,120211000000000.0,2595779,1,3595,4117,13,,,3,30/12/2021 04:20,30/12/2021 04:28,29/12/2021 21:42,6.77,21.19,6.24,1.4,1.48,1.78,1.58,Early,0.9217134416543575
3384,3384,120211000000000.0,2595876,1,3595,4117,13,,,3,30/12/2021 13:20,30/12/2021 13:26,30/12/2021 04:28,8.97,21.56,8.24,1.84,1.93,2.29,2.18,Early,0.9186176142697882
3385,3385,120211000000000.0,2595981,1,3595,4117,13,,,3,30/12/2021 22:23,30/12/2021 22:29,30/12/2021 13:26,9.05,21.94,8.1,1.84,1.93,2.22,2.11,Early,0.8950276243093922
3386,3386,120211000000000.0,2596045,1,3595,4117,13,,,3,31/12/2021 03:33,31/12/2021 03:39,30/12/2021 22:29,5.16,22.15,4.66,1.09,1.11,1.29,1.17,Early,0.9031007751937985
3387,3387,120211000000000.0,2596140,1,3595,4117,13,,,3,31/12/2021 12:29,31/12/2021 12:36,31/12/2021 03:39,8.95,22.53,7.64,1.74,1.82,2.14,1.94,Early,0.8536312849162011
3388,3388,120211000000000.0,2596237,1,3595,4117,13,,,3,31/12/2021 20:13,31/12/2021 20:19,31/12/2021 12:36,7.73,22.85,6.76,1.47,1.53,1.85,1.91,Early,0.8745148771021991
3389,3389,120220000000000.0,2596310,1,3595,4117,13,,,3,01/01/2022 02:23,01/01/2022 02:29,31/12/2021 20:19,6.15,23.1,5.61,1.24,1.34,1.55,1.48,Early,0.9121951219512195
3390,3390,120220000000000.0,2596377,1,3595,4117,13,,,3,01/01/2022 08:53,01/01/2022 09:00,01/01/2022 02:29,6.53,23.38,6.06,1.37,1.39,1.9,1.4,Early,0.9280245022970902
3391,3391,120220000000000.0,2596466,1,3595,4117,13,,,3,01/01/2022 16:48,01/01/2022 16:54,01/01/2022 09:00,7.9,23.7,6.94,1.57,1.6,1.95,1.82,Early,0.8784810126582279
3392,3392,120220000000000.0,2596536,1,3595,4117,13,,,3,01/01/2022 23:02,01/01/2022 23:08,01/01/2022 16:54,6.22,23.96,6.0,1.37,1.37,1.59,1.67,Early,0.9646302250803859
3393,3393,120220000000000.0,2596591,1,3595,4117,13,,,3,02/01/2022 04:36,02/01/2022 04:41,01/01/2022 23:08,5.56,24.2,5.7,1.28,1.33,1.57,1.52,Early,1.025179856115108
3394,3394,120220000000000.0,2596652,1,3595,4117,13,,,3,02/01/2022 10:57,02/01/2022 11:03,02/01/2022 04:41,6.36,24.46,6.8,1.52,1.56,1.81,1.91,Early,1.069182389937107
3395,3395,120220000000000.0,2596729,1,3595,4117,13,,,3,02/01/2022 17:42,02/01/2022 17:48,02/01/2022 11:03,6.75,24.74,7.24,1.7,1.7,1.97,1.87,Early,1.0725925925925925
